Season,Plot,Total_abundance,Shannon_diversity_h,Total_litterfall_g_m2_month,Leaf_fall_g_m2_month,Wood_fall_g_m2_month,Mean_monthly_rainfall_mm,Leaf_k_at_720,Wood_k_at_720,Shannon,Richness,Pielou
Dry,1,22,0.41,29.67,24.22,2.34,16.25,0.0006,0.0006,0.949,5,0.59
Rainy,1.1,254,0.6,18.67,13.09,2.93,218.56,0.0006,0.0006,1.392,11,0.58
Dry,2,1732,0.37,35.55,29.3,2.81,16.25,0.0005,0.0008,0.86,15,0.32
Rainy,2.1,204,0.72,20.84,10.82,7.09,218.56,0.0005,0.0008,1.661,8,0.8
Dry,3,390,0.42,22.97,20.77,1.68,16.25,0.0006,0.0008,0.964,8,0.46
Rainy,3.1,239,0.71,5.27,3.73,0.68,218.56,0.0006,0.0008,1.637,10,0.71
Dry,4,152,0.69,30.56,26.87,1.63,16.25,0.0006,0.0009,1.579,11,0.66
Rainy,4.1,190,0.63,7.94,5.61,1.1,218.56,0.0006,0.0009,1.452,8,0.7
Dry,5,182,0.39,42.44,38.18,1.59,16.25,0.0009,0.0007,0.895,12,0.36
Rainy,5.1,164,0.6,12.48,8.61,1.47,218.56,0.0009,0.0007,1.389,7,0.71
Dry,6,495,0.29,41.08,39.31,0.22,16.25,0.0006,0.0007,0.666,13,0.26
Rainy,6.1,370,0.67,11.28,9.88,0.58,218.56,0.0006,0.0007,1.55,8,0.75
Dry,7,533,0.51,43.52,40.3,0.7,16.25,0.0007,0.001,1.173,6,0.65
Rainy,7.1,190,0.7,13.62,11.37,1.04,218.56,0.0007,0.001,1.609,9,0.73
Dry,8,284,0.16,30.44,28.72,0.82,16.25,0.0006,0.0006,0.372,9,0.17
Rainy,8.1,247,0.53,10.65,4.26,1.26,218.56,0.0006,0.0006,1.228,9,0.56
Dry,9,497,0.21,27.68,26.8,0.26,16.25,0.0007,0.0006,0.485,7,0.25
Rainy,9.1,186,0.64,11.17,8.87,1.09,218.56,0.0007,0.0006,1.475,9,0.67
Dry,10,402,0.39,36.44,34.51,0.47,16.25,0.0007,0.0007,0.89,10,0.39
Rainy,10.1,192,0.76,18.15,15.76,1.13,218.56,0.0007,0.0007,1.753,8,0.84
Dry,11,224,0.92,48.46,43.04,2.41,16.25,0.0006,0.0007,2.117,17,0.75
Rainy,11.1,1069,0.45,28.89,22.73,2.24,218.56,0.0006,0.0007,1.029,9,0.47
Dry,12,227,0.51,46.08,39.7,3.95,16.25,0.0011,0.0007,1.17,11,0.49
Rainy,12.1,1458,0.34,16.64,9.52,5.97,218.56,0.0011,0.0007,0.781,10,0.34