Plot,Season,Total_Abundance,Shannon,Richness,Pielou
1,Dry,22,0.949,5,0.59
1,Rainy,254,1.392,11,0.58
2,Dry,1732,0.860,15,0.32
2,Rainy,204,1.661,8,0.80
3,Dry,390,0.964,8,0.46
3,Rainy,239,1.637,10,0.71
4,Dry,152,1.579,11,0.66
4,Rainy,190,1.452,8,0.70
5,Dry,182,0.895,12,0.36
5,Rainy,164,1.389,7,0.71
6,Dry,495,0.666,13,0.26
6,Rainy,370,1.550,8,0.75
7,Dry,533,1.173,6,0.65
7,Rainy,190,1.609,9,0.73
8,Dry,284,0.372,9,0.17
8,Rainy,247,1.228,9,0.56
9,Dry,497,0.485,7,0.25
9,Rainy,186,1.475,9,0.67
10,Dry,402,0.890,10,0.39
10,Rainy,192,1.753,8,0.84
11,Dry,224,2.117,17,0.75
11,Rainy,1069,1.029,9,0.47
12,Dry,227,1.170,11,0.49
12,Rainy,1458,0.781,10,0.34